Fish Species,Cover,Area,Weight in LBS,Depth,ID,,,
Largemouth,Buck Brush,Upper Section Main Lake,4.8125,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.6875,0-5,Day2,,,
Largemouth,Offshore,Bays/Pockets,5.3125,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Boat Docks,Creeks,2.1875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.3125,0-5,Day2,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.375,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,4.375,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.9375,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.3125,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.375,0-5,Day2,,,
Largemouth,Buck Brush,Upper Section Main Lake,2.1875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.125,0-5,Day2,,,
Largemouth,Marinas,Mid Section Main Lake,2.875,0-5,Day2,,,
Largemouth,Boat Docks,Creeks,4.5625,0-5,Day2,,,
Largemouth,Boat Docks,Upper Section Main Lake,3.3125,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,2.0625,0-5,Day2,,,
Largemouth,Natural Rock,Creeks,2.375,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.1875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.25,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,2.625,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.0625,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.5625,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.875,0-5,Day2,,,
Largemouth,Natural Rock,Creeks,2.25,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.0625,46152,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day2,,,
Largemouth,Point,Creeks,3.5,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.3125,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.4375,46152,Day2,,,
Largemouth,Boat Docks,Creeks,2.5625,0-5,Day2,,,
Largemouth,Point,Creeks,2,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.625,0-5,Day2,,,
Largemouth,Boat Docks,River,2.1875,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.0625,0-5,Day2,,,
Largemouth,Boat Docks,Creeks,2.1875,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.3125,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,2,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.375,0-5,Day2,,,
Largemouth,Boat Docks,Mid Section Main Lake,3.125,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.25,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3.1875,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,4.5,46152,Day2,,,
Largemouth,Bluff Walls,River,3.375,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.375,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,2.4375,46152,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.125,0-5,Day2,,,
Largemouth,Lay Downs,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,4.6875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.1875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,4.0625,0-5,Day2,,,
Largemouth,Not Available/Other,Mid Section Main Lake,3.4375,0-5,Day2,,,
Largemouth,Natural Rock,Creeks,5.0625,0-5,Day2,,,
Largemouth,Marinas,Bays/Pockets,2.125,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2,46310,Day2,,,
Largemouth,Boat Docks,Creeks,2.625,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.25,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Boat Docks,Creeks,3.625,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.3125,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Natural Rock,Mid Section Main Lake,5.8125,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.5,0-5,Day2,,,
